appliance;DS8886 75CBP20;DS8886 75BZZ00;DS8886F 75KPM10;DS8886F 75KPM30;DS8884 75HHH50;DS8884 75HHH30;DS8886 75HKT20;DS8886 75HKF20
SKLM 1;X;X;X;X;X;X;X;X
SKLM 2;X;X;X;X;X;X;X;X
SKLM 3;X;X;X;X;X;X;X;X
SKLM 4;X;X;X;X;X;X;X;X
