storage/Mainframe Tape Library;VIRTUO_VDC-B0;VIRTUO-B10;VIRTUO-B4;VIRTUO_SPFF-B4;VIRTUO_SPFF-B10
LIB_M_VIRTUO_VDC-B0;X;;;;
LIB_S_VIRTUO_VDC-B0;X;;;;
LIB_VIRTUO-B10;;X;;;
LIB_VIRTUO-B4;;;X;;
