appliance / storage;NF0012;NF0018;NF0021;NF0022
NF0012-SP0;X;;;
NF0018-SP0;;X;;
NF0018-SP1;;X;;
SWITCH-A_SPW_B10;X;X;;
SWITCH-B_SPW_B10;X;X;;
SWITCH-A_SPW_B4;X;X;;
SWITCH-B_SPW_B4;X;X;;
NF0021-SP0;;;X;
NF0021-SP1;;;X;
NF0022-SP0;;;;X
NF0022-SP1;;;;X
SWITCH-A_SPFF_B10;;;X;X
SWITCH-B_SPFF_B10;;;X;X
SWITCH-A_SPFF_B4;;;X;X
SWITCH-B_SPFF_B4;;;X;X
OPTIMA3700-B4;X;X;X;X
OPTIMA3700-B10;X;X;X;X
VIRTUO_VDC-B0;X;;;
VIRTUO-B10;X;X;;
VIRTUO-B4;X;X;;
VIRTUO_SPFF-B4;;;X;X
VIRTUO_SPFF-B10;;;X;X
